id,pour_volume,pressure,comment,ph,hysteresis,sg,time,count,volume_unit,rssi,temp,temp_target,device_integration,fridgeTemp,report_source,percentage,device_source,bpm,roomTemp,gravity_target,battery,volume,device_state,max_volume,beer,angle,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint
KOMORA,,,,,,,1751055491481,,,,20.6,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,EGJsgDpAlpsbODx9YQJp,2025-06-27T20:18:11.481Z
KOMORA,,,,,,,1751051890912,,,,21.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,qA1GjTlhVmLNN8m6tkv2,2025-06-27T19:18:10.912Z
KOMORA,,,,,,,1751048292070,,,,22.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,fMi9Zdr1QnSKNNCOQV0x,2025-06-27T18:18:12.070Z
KOMORA,,,,,,,1751044692933,,,,23.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,LGyLyW39z84a0e8Fc2Cz,2025-06-27T17:18:12.933Z
KOMORA,,,,,,,1751041092165,,,,16.4,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,MNBa2V2ArEWoD3rD2PSR,2025-06-27T16:18:12.165Z
KOMORA,,,,,,,1751037490115,,,,9.3,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,LLR89FrIqUQug4cEr15r,2025-06-27T15:18:10.115Z
KOMORA,,,,,,,1751033890502,,,,9.2,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,AGmqJbrGeLukqGSOSajE,2025-06-27T14:18:10.502Z
KOMORA,,,,,,,1751030291622,,,,9.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,lvJU3VHdbKeYZh6AUvMT,2025-06-27T13:18:11.622Z
KOMORA,,,,,,,1751026689350,,,,9.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,43x8QqgU6xLvAZ5JdgDb,2025-06-27T12:18:09.350Z
KOMORA,,,,,,,1751023089367,,,,9.1,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,yBZDTLVYl2oxHWXdicr0,2025-06-27T11:18:09.367Z
KOMORA,,,,,,,1751019490798,,,,8.8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,TSY8aKfaeMBHj4UdvjjX,2025-06-27T10:18:10.798Z
KOMORA,,,,,,,1751015889372,,,,8.7,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,YltJEc2L9rUgBgVQ11Mf,2025-06-27T09:18:09.372Z
KOMORA,,,,,,,1751012289717,,,,8.8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,QITr9xxPYRYX3s6wFCzB,2025-06-27T08:18:09.717Z
KOMORA,,,,,,,1751008718681,,,,8.8,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,MlRwSMfC1r6WO7VGSZi2,2025-06-27T07:18:38.681Z
KOMORA,,,,,,,1751005088221,,,,8.9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,98Uo3V7NaRrGIRZ9skhq,2025-06-27T06:18:08.221Z
KOMORA,,,,,,,1751001487674,,,,8.9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,Exk77dypYOewIksRWMoE,2025-06-27T05:18:07.674Z
KOMORA,,,,,,,1750997887851,,,,8.9,,default,,,,,,,,,,,,,,stream,fxHcadcAYbSdGfpoGDaGocBiueKEr7$0$stream$KOMORA$0,AqOiukXkgevekbluQYbL,2025-06-27T04:18:07.851Z
