fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,0.2,1.01,,,,,,default,,,stream,,,,,,1741991924914,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,L21Aa4b7Kuo4yh1bd29W,2025-03-14T22:38:44.914Z
,,0.8,1.01,,,,,,default,,,stream,,,,,,1741988325354,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,ZuGNGeNVSqm4SQyoyUOf,2025-03-14T21:38:45.354Z
,,1,1.01,,,,,,default,,,stream,,,,,,1741984725581,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,nSZklnbNkoJC6SxGflFc,2025-03-14T20:38:45.581Z
,,1.2,1.01,,,,,,default,,,stream,,,,,,1741981123092,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,ySnzlPsrFY9ZZfQVU1f0,2025-03-14T19:38:43.092Z
,,1.6,1.01,,,,,,default,,,stream,,,,,,1741977521926,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,NsmAs8NXx2L6yPgZvTlw,2025-03-14T18:38:41.926Z
,,1.8,1.009,,,,,,default,,,stream,,,,,,1741973921291,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,sW19qZLfw5G340RB5Yti,2025-03-14T17:38:41.291Z
,,1.6,1.01,,,,,,default,,,stream,,,,,,1741970321306,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,vosNwnrwwyrWYToiwx3v,2025-03-14T16:38:41.306Z
,,0.2,1.011,,,,,,default,,,stream,,,,,,1741966720669,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,NNsCliTStzrwgCzkEmWj,2025-03-14T15:38:40.669Z
,,0,1.011,,,,,,default,,,stream,,,,,,1741963121218,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,OENDWN6s2fQc1eAIsvzt,2025-03-14T14:38:41.218Z
,,-0.3,1.011,,,,,,default,,,stream,,,,,,1741959521575,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,b6GvdpxUa6chyi5JMUB6,2025-03-14T13:38:41.575Z
